Hideo Kojima,Producer
Guillermo Del Toro,Producer
Tsutomu Kokufu
Masahiro Nose
Shota Hirasawa
Shogo Asai
Koichiro Ito
Nobumitsu Tanaka
Youngho Kim
Takayuki Aoki
Takashi Nakagawa
Akihiro Teruta
Hiroyuki Nakayama
Shunsuke Kanikawa
Ludvig Forssell
Akira Kanke
Shintaro Naka
Jorge Lescale
Yasuhiro Ikoma
Soojin Kim
Masayuki Suzuki
Keiichi Kono
Masakazu Kato
Ken Mendoza
Kohei Tsuchiya
Kenichiro Imaizumi
